CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
11094,120120,JUNIN,HUANCAYO,HUASICANCHA,Municipalidad Distrital de Huasicancha,NULL,20318794180,Calle Santa Barbara s/n,
11095,120121,JUNIN,HUANCAYO,HUAYUCACHI,Municipalidad Distrital de Huayucachi,MDHchi.,20199806444,Calle Real s/n - Plaza Principal del distrito,
11096,120122,JUNIN,HUANCAYO,INGENIO,Municipalidad Distrital de Ingenio,MDI,20172730940,Plaza principal s/n,
11097,120124,JUNIN,HUANCAYO,PARIAHUANCA,Municipalidad Distrital de Pariahuanca - Junin,MD - PARIAHUANCA,20358916334,Plaza principal,
11098,120125,JUNIN,HUANCAYO,NULL,Municipalidad Distrital de Pilcomayo,MDP,20199800061,Plaza Libertad Nº 190,
11099,120126,JUNIN,HUANCAYO,PUCARA,Municipalidad Distrital de Pucará,MDP,20202656,Plaza principal Pucara s/n,
11100,120127,JUNIN,HUANCAYO,QUICHUAY,Municipalidad Distrital de Quichuay,NULL,20210911031,Plaza Principal s/n,
11101,120128,JUNIN,HUANCAYO,QUILCAS,Municipalidad Distrital de Quilcas,NULL,20206723077,Calle San Martin 435,
11102,120129,JUNIN,HUANCAYO,SAN AGUSTIN,Municipalidad Distrital de San Agustin de Cajas,MDSAC,20199818351,Plaza principal s/n,
11103,120130,JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,Municipalidad Distrital de San Jeronimo de Tunan,M.D.S.J.T.,20185716172,Jr.Arequipa Nº 709 - Parque Principal,
11104,120132,JUNIN,HUANCAYO,SAÑO,Municipalidad Distrital de Saño,NULL,20223230246,Av. Daniel Turin s/n,
11105,120133,JUNIN,HUANCAYO,SAPALLANGA,Municipalidad Distrital de Sapallanga,MDS,20195243299,Av. Ricardo Palma S/N,
11106,120134,JUNIN,HUANCAYO,SICAYA,Municipalidad Distrital de Sicaya,MDS,20172752323,Centro Civico principal 1098,
11107,120135,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,Municipalidad Distrital de Sto. Domingo de Acobamba,mdsda,20221788908,Plaza principal s/n 160,
11108,120136,JUNIN,HUANCAYO,VIQUES,Municipalidad Distrital de Viques,MDV,,Plaza principal Viquez s/n,
11110,120202,JUNIN,CONCEPCION,ACO,Municipalidad Distrital de Aco - Junin,MD-ACO,20180414992,Av. San Isidro s/n - Plaza Principal - Aco - Concepción - Junín - Perú,
